   1.9246179623   -0.2037805234    2.1223794344
   2.1684130819   -0.2037805234    2.1081799856
   1.8027204024    0.0073522436    2.1081799856
   1.6808228426   -0.2037805234    2.1081799856
   1.8027204024   -0.4149132903    2.1081799856
   2.0465155221   -0.4149132903    2.1081799856
   1.5052076368    0.0383661409    2.0657736626
   1.4403246337   -0.2037805234    2.0657736626
   1.5052076368   -0.4459271877    2.0657736626
   1.6824712980   -0.6231908488    2.0657736626
   1.9246179623   -0.6880738519    2.0657736626
   2.1667646265   -0.6231908488    2.0657736626
   2.3440282877   -0.4459271877    2.0657736626
   1.3744124388    0.2578967284    1.9957339380
   1.2496909721    0.0418728113    1.9957339380
   1.2063756613   -0.2037805234    1.9957339380
   1.2496909721   -0.4494338581    1.9957339380
   1.3744124388   -0.6654577752    1.9957339380
   1.5654968118   -0.8257966021    1.9957339380
   1.7998964956   -0.9111111099    1.9957339380
   2.0493394289   -0.9111111099    1.9957339380
   2.2837391127   -0.8257966021    1.9957339380
   2.4748234857   -0.6654577752    1.9957339380
   2.5995449524   -0.4494338581    1.9957339380
   1.1084078306    0.2674586158    1.8990079790
   1.4533788230   -1.0199906550    1.8990079790
   1.6806866342   -1.1141446332    1.8990079790
   1.9246179623   -1.1462588018    1.8990079790
   2.1685492903   -1.1141446332    1.8990079790
   2.3958571015   -1.0199906550    1.8990079790
   2.5910507441   -0.8702133052    1.8990079790
   2.7408280939   -0.6750196626    1.8990079790
   2.8349820721   -0.4477118514    1.8990079790
   1.4974900593   -1.2757907241    1.7769038383
   1.7379265771   -1.3425475946    1.7769038383
   1.9870925766   -1.3560569826    1.7769038383
   2.2333373325   -1.3156872040    1.7769038383
   2.4651467138   -1.2233259048    1.7769038383
   2.6716815714   -1.0832917967    1.7769038383
   2.8432845649   -0.9021327189    1.7769038383
   2.9719317292   -0.6883194687    1.7769038383
   3.0516076657   -0.4518497159    1.7769038383
   1.5552128858   -1.5021046962    1.6310727649
   1.8000691500   -1.5478762646    1.6310727649
   2.0491667745   -1.5478762646    1.6310727649
   1.6190817859   -1.7003957020    1.4634868739
   1.3829644414    1.2244424323   -1.4187280052
   1.1608756386    1.1190599851   -1.4187280052
   3.0722869471    0.5068260271   -1.5863138962
   1.5552128858    1.0945436494   -1.5863138962
   1.3229362685    1.0045592085   -1.5863138962
   1.1111491996    0.8734262072   -1.5863138962
   2.8432845649    0.4945716722   -1.7321449696
   2.6716815714    0.6757307499   -1.7321449696
   2.4651467138    0.8157648580   -1.7321449696
   2.2333373325    0.9081261572   -1.7321449696
   1.9870925766    0.9484959358   -1.7321449696
   1.7379265771    0.9349865479   -1.7321449696
   1.4974900593    0.8682296773   -1.7321449696
   1.2770255676    0.7513468012   -1.7321449696
   1.0868417765    0.5898032330   -1.7321449696
   2.7408280939    0.2674586158   -1.8542491103
   2.5910507441    0.4626522584   -1.8542491103
   2.3958571015    0.6124296082   -1.8542491103
   2.1685492903    0.7065835865   -1.8542491103
   1.9246179623    0.7386977550   -1.8542491103
   1.6806866342    0.7065835865   -1.8542491103
   1.4533788230    0.6124296082   -1.8542491103
   1.2581851805    0.4626522584   -1.8542491103
   1.1084078306    0.2674586158   -1.8542491103
   2.4748234857    0.2578967284   -1.9509750693
   2.2837391127    0.4182355553   -1.9509750693
   2.0493394289    0.5035500632   -1.9509750693
   1.7998964956    0.5035500632   -1.9509750693
   1.5654968118    0.4182355553   -1.9509750693
   1.3744124388    0.2578967284   -1.9509750693
   1.2496909721    0.0418728113   -1.9509750693
   1.2063756613   -0.2037805234   -1.9509750693
   1.2496909721   -0.4494338581   -1.9509750693
   1.3744124388   -0.6654577752   -1.9509750693
   2.3440282877    0.0383661409   -2.0210147939
   2.1667646265    0.2156298020   -2.0210147939
   1.9246179623    0.2805128052   -2.0210147939
   1.6824712980    0.2156298020   -2.0210147939
   1.5052076368    0.0383661409   -2.0210147939
   1.4403246337   -0.2037805234   -2.0210147939
   1.5052076368   -0.4459271877   -2.0210147939
   1.6824712980   -0.6231908488   -2.0210147939
   2.0465155221    0.0073522436   -2.0634211169
   1.8027204024    0.0073522436   -2.0634211169
   1.6808228426   -0.2037805234   -2.0634211169
